id,name,mass_g,fall,year,latitude,longitude
5295,castrovillari,15000,fell,1583,39.8,16.2
16745,morito,10100000,found,1600,27.05,-105.43333
12069,jalandhar,1967,fell,1621,31,75
23732,stretchleigh,10400,fell,1623,50.38333,-3.95
11855,hatford,29000,fell,1628,51.65,-1.51667
16692,minamino,1040,fell,1632,35.07833,136.93333
16805,mount_vaisi,17000,fell,1637,44.08333,6.86667
18033,ortenau,4500,fell,1671,48.5,8
23457,schellin,7000,fell,1715,53.35,15.05
23615,siratik,1700,found,1716,14,-11
23722,steinbach,98000,found,1724,50.5,12.5
22396,rasgrad,24700,fell,1740,43.5,26.53333
17994,ogi,14360,fell,1741,33.28333,130.2
12356,krasnojarsk,700000,found,1749,54.9,91.8
11916,hraschina,49000,fell,1751,46.1,16.33333
14757,luponnas,14000,fell,1753,46.21667,5
23776,tabor,7540,fell,1753,49.4,14.65
453,albareto,2000,fell,1766,44.65,11.01667
14724,lucé,3500,fell,1768,47.85,0.48333
15446,mauerkirchen,19000,fell,1768,48.18333,13.13333
23495,sena,4000,fell,1773,41.71667,-0.05
22642,rodach,2900,fell,1775,50.35,10.8
24018,toluca,3000000,found,1776,19.56667,-99.56667
14695,longchang,158500,found,1781,29.3,105.3
5015,bendegó,5360000,found,1784,-10.11667,-39.2
7775,eichstädt,3000,fell,1785,48.9,11.21667
12291,kharkov,1500,fell,1787,50.625,35.075
4942,barbotan,6400,fell,1790,43.95,-0.05
30381,zacatecas_(1792),1000000,found,1792,22.81667,-102.56667
5261,cape_of_good_hope,136000,found,1793,-33.5,26
23586,siena,3700,fell,1794,43.11667,11.6
24325,wold_cottage,25000,fell,1795,54.13667,-0.41333
5063,bjelaja_zerkov,1850,fell,1796,49.78333,30.16667
18876,portugal,4500,fell,1796,38.5,-8
18884,prambanan,500000,found,1797,-7.56667,110.83333
5011,benares_(a),3700,fell,1798,25.36667,82.91667
23111,salles,9000,fell,1798,46.05,4.63333
2320,apt,3200,fell,1803,43.86667,5.38333
12434,l'aigle,37000,fell,1803,48.76667,0.63333
15443,mässing,1600,fell,1803,48.13333,12.61667
5326,charcas,1400000,found,1804,23.08333,-101.01667
7751,durango,164000,found,1804,0,0
11884,high_possil,4500,fell,1804,55.9,-4.23333
16705,misteca,10000,found,1804,16.8,-97.1
5062,bitburg,1500000,found,1805,49.96667,6.53333
7718,doroninsk,3891,fell,1805,51.2,112.3
448,alais,6000,fell,1806,44.11667,4.08333
24004,timochin,65500,fell,1807,54.5,35.2
24249,weston,150000,fell,1807,41.266667,-73.266667
